acctnum,gender,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,refernce,art,geog,subscribe
10001,M/NB,49,29,109,248,357,10,3,2,2,0,1,0,2,no
10002,M/NB,39,27,35,103,138,3,0,1,0,1,0,0,1,no
10003,F,19,15,25,147,172,2,0,0,2,0,0,0,0,no
10004,F,7,7,15,257,272,1,0,0,0,0,1,0,0,no
10005,F,15,15,15,134,149,1,0,0,1,0,0,0,0,no
10006,F,7,7,15,98,113,1,0,1,0,0,0,0,0,yes
10007,M/NB,25,25,15,0,15,1,0,0,0,1,0,0,0,no
10008,M/NB,41,1,124,114,238,11,2,1,2,3,0,0,3,no
10009,F,65,5,130,288,418,11,0,2,3,2,0,3,1,yes
10010,F,11,11,15,108,123,1,0,1,0,0,0,0,0,no
10011,F,7,5,25,269,294,2,0,1,1,0,0,0,0,no
10012,F,15,13,27,146,173,2,0,1,0,0,1,0,0,no
10013,F,13,13,15,211,226,1,0,0,0,1,0,0,0,no
10014,M/NB,17,5,37,251,288,3,0,0,2,0,1,0,0,no
10015,F,25,25,15,0,15,1,0,0,1,0,0,0,0,no
10016,F,5,1,23,111,134,2,2,0,0,0,0,0,0,no
10017,F,19,7,39,137,176,3,0,0,2,0,0,0,1,no
10018,M/NB,33,7,147,300,447,12,4,0,6,0,0,2,0,no
10019,F,17,11,26,181,207,2,0,0,1,1,0,0,0,no
10020,F,13,11,25,276,301,2,0,1,1,0,0,0,0,no
10021,M/NB,15,9,25,177,202,2,0,1,1,0,0,0,0,no
10022,F,15,15,15,72,87,1,0,0,0,0,1,0,0,no
10023,M/NB,55,23,101,287,388,9,2,0,3,1,1,1,1,no
10024,F,5,1,29,85,114,2,0,0,0,0,0,1,1,no
10025,F,21,13,25,272,297,2,0,1,1,0,0,0,0,no
10026,F,15,15,15,14,29,1,1,0,0,0,0,0,0,no
10027,M/NB,25,11,82,243,325,7,1,0,2,2,0,1,1,no
10028,F,67,13,137,74,211,12,2,0,6,1,1,0,2,no
10029,M/NB,9,7,28,100,128,2,0,1,0,0,0,1,0,no
10030,F,13,13,15,225,240,1,1,0,0,0,0,0,0,no
10031,M/NB,61,27,137,66,203,12,3,0,3,4,0,0,2,no
10032,F,59,7,109,186,295,9,2,0,1,0,1,1,4,no
10033,F,15,15,15,239,254,1,1,0,0,0,0,0,0,no
10034,F,27,3,95,255,350,9,3,0,4,0,0,2,0,no
10035,F,19,13,29,103,132,2,0,0,0,0,0,1,1,no
10036,F,9,9,15,56,71,1,0,0,0,1,0,0,0,no
10037,F,7,7,15,40,55,1,0,0,0,0,0,0,1,no
10038,M/NB,13,13,15,131,146,1,0,0,0,1,0,0,0,no
10039,F,21,21,15,175,190,1,0,0,1,0,0,0,0,no
10040,F,9,9,15,108,123,1,1,0,0,0,0,0,0,no
10041,M/NB,31,17,70,266,336,6,2,0,1,1,0,2,0,yes
10042,F,13,11,25,221,246,2,1,0,1,0,0,0,0,no
10043,F,45,1,128,132,260,11,1,2,3,1,0,1,3,no
10044,F,37,13,101,37,138,9,1,1,3,2,0,1,1,no
10045,F,33,33,15,37,52,1,0,0,1,0,0,0,0,no
10046,F,55,21,78,60,138,7,2,1,2,0,1,0,1,no
10047,F,1,1,15,213,228,1,0,1,0,0,0,0,0,no
10048,M/NB,83,29,126,321,447,11,3,0,2,2,0,3,1,no
10049,F,19,11,26,122,148,2,1,0,0,1,0,0,0,no
10050,F,31,13,46,295,341,4,1,2,0,0,0,0,1,no
10051,F,9,9,15,242,257,1,0,0,1,0,0,0,0,no
10052,F,23,21,23,79,102,2,2,0,0,0,0,0,0,no
10053,M/NB,45,13,63,135,198,6,2,1,2,1,0,0,0,no
10054,F,19,17,27,237,264,2,0,0,1,0,1,0,0,no
10055,F,77,5,137,49,186,12,2,1,3,0,1,1,4,yes
10056,M/NB,49,9,89,56,145,8,1,1,4,0,0,1,1,no
10057,F,5,5,15,196,211,1,0,0,1,0,0,0,0,no
10058,M/NB,31,3,59,230,289,5,1,1,1,1,0,0,1,no
10059,F,9,5,29,68,97,2,0,0,1,0,0,0,1,no
10060,F,11,5,25,120,145,2,1,0,1,0,0,0,0,no
10061,F,15,15,15,175,190,1,0,0,0,0,0,0,1,no
10062,F,13,13,15,239,254,1,0,0,0,0,0,1,0,no
10063,M/NB,43,13,67,118,185,6,1,0,3,1,0,1,0,no
10064,F,5,1,29,114,143,2,0,1,0,0,0,0,1,no
10065,M/NB,13,9,29,153,182,2,1,0,0,0,0,0,1,no
10066,M/NB,17,7,39,84,123,3,0,0,1,0,0,0,2,no
10067,F,11,11,15,175,190,1,0,0,0,0,0,1,0,no
10068,M/NB,63,9,128,123,251,12,4,2,1,2,1,1,1,no
10069,M/NB,67,27,117,204,321,10,3,0,1,2,0,2,2,no
10070,F,5,5,15,246,261,1,1,0,0,0,0,0,0,no
10071,F,13,13,15,240,255,1,0,1,0,0,0,0,0,no
10072,F,29,13,45,291,336,4,1,2,0,0,0,1,0,no
10073,M/NB,41,15,61,119,180,5,2,0,0,1,0,1,1,yes
10074,F,65,13,119,276,395,11,4,2,2,0,0,0,3,no
10075,M/NB,39,13,76,172,248,7,1,0,4,1,1,0,0,no
10076,F,31,13,50,23,73,4,2,0,0,0,0,1,1,no
10077,M/NB,25,13,56,178,234,5,1,0,1,2,1,0,0,no
10078,F,9,9,15,269,284,1,0,1,0,0,0,0,0,no
10079,F,13,13,15,172,187,1,1,0,0,0,0,0,0,no
10080,F,63,31,118,280,398,11,7,1,0,0,1,1,1,no
10081,F,9,9,15,237,252,1,0,0,0,0,0,1,0,no
10082,F,13,13,15,186,201,1,0,0,0,1,0,0,0,no
10083,F,53,7,98,54,152,8,1,0,1,0,2,4,0,yes
10084,F,17,15,28,157,185,2,0,0,0,1,0,1,0,no
10085,F,13,13,15,259,274,1,0,0,1,0,0,0,0,no
10086,F,11,11,15,36,51,1,0,0,0,1,0,0,0,no
10087,M/NB,15,15,15,55,70,1,0,0,0,0,1,0,0,no
10088,F,25,25,15,157,172,1,0,0,1,0,0,0,0,no
10089,F,37,1,82,266,348,7,1,1,2,0,1,0,2,no
10090,F,19,5,38,202,240,3,0,1,1,0,0,0,1,no
10091,M/NB,35,9,140,57,197,12,3,0,4,2,2,1,0,no
10092,F,37,3,139,297,436,12,2,0,3,2,1,2,2,yes
10093,M/NB,41,33,27,148,175,2,0,0,0,0,2,0,0,no
10094,M/NB,15,11,29,98,127,2,0,1,0,0,0,0,1,no
10095,M/NB,19,1,49,226,275,4,0,0,2,1,0,1,0,no
10096,M/NB,27,19,29,210,239,2,0,0,1,0,0,0,1,no
10097,F,19,13,25,238,263,2,1,0,1,0,0,0,0,no
10098,F,25,11,47,25,72,4,1,1,1,0,0,0,1,no
10099,F,19,11,28,246,274,2,1,0,0,0,0,1,0,no
10100,M/NB,17,1,39,281,320,3,0,0,0,1,0,2,0,yes
10101,F,35,33,29,168,197,2,0,0,0,0,0,0,2,no
10102,F,9,3,26,274,300,2,0,0,1,1,0,0,0,no
10103,F,3,3,15,253,268,1,0,0,0,0,0,0,1,yes
10104,M/NB,1,1,15,74,89,1,0,0,0,0,0,0,1,no
10105,F,19,13,25,82,107,2,1,0,1,0,0,0,0,no
10106,M/NB,37,33,24,229,253,2,1,1,0,0,0,0,0,no
10107,M/NB,13,13,15,47,62,1,0,0,0,1,0,0,0,no
10108,M/NB,23,7,80,171,251,7,3,0,1,0,1,1,1,no
10109,F,59,25,79,260,339,7,1,0,3,1,1,1,0,no
10110,M/NB,35,11,132,150,282,12,3,2,1,2,2,1,1,no
10111,F,47,13,81,159,240,7,2,0,1,0,1,0,3,no
10112,F,13,13,15,120,135,1,1,0,0,0,0,0,0,no
10113,F,9,9,15,67,82,1,0,0,0,0,0,0,1,no
10114,F,37,23,66,92,158,5,0,0,1,0,0,2,2,no
10115,F,13,13,15,34,49,1,1,0,0,0,0,0,0,no
10116,F,9,3,25,188,213,2,1,0,1,0,0,0,0,no
10117,M/NB,59,7,142,223,365,11,3,0,0,0,1,1,6,yes
10118,F,13,13,15,233,248,1,0,1,0,0,0,0,0,no
10119,F,9,1,25,159,184,2,1,0,1,0,0,0,0,no
10120,F,19,9,54,199,253,4,1,0,0,0,1,1,1,yes
10121,F,57,13,104,152,256,9,2,0,3,0,1,1,2,no
10122,M/NB,13,9,27,78,105,2,0,0,0,0,2,0,0,no
10123,F,19,19,15,98,113,1,1,0,0,0,0,0,0,no
10124,M/NB,53,15,125,207,332,11,2,0,4,2,2,1,0,no
10125,F,27,13,65,161,226,6,2,1,2,0,0,1,0,no
10126,F,21,21,15,66,81,1,0,0,1,0,0,0,0,no
10127,M/NB,37,9,120,210,330,10,0,0,5,2,1,2,0,no
10128,F,15,15,15,103,118,1,0,1,0,0,0,0,0,no
10129,F,21,7,33,280,313,3,1,0,1,0,0,0,1,no
10130,F,33,27,26,289,315,2,0,0,1,1,0,0,0,no
10131,F,21,13,27,299,326,2,0,1,0,0,1,0,0,no
10132,M/NB,37,13,56,33,89,5,1,0,1,2,1,0,0,no
10133,F,65,27,127,203,330,11,0,3,4,1,2,0,1,no
10134,F,29,29,15,240,255,1,0,0,1,0,0,0,0,no
10135,F,13,13,15,160,175,1,0,0,0,0,1,0,0,no
10136,F,61,1,134,64,198,12,2,3,2,1,0,2,2,yes
10137,M/NB,11,5,24,256,280,2,0,2,0,0,0,0,0,yes
10138,F,55,27,85,209,294,7,1,0,2,1,0,1,2,no
10139,F,19,11,32,217,249,3,1,1,0,1,0,0,0,no
10140,M/NB,11,7,29,8,37,2,0,0,1,0,0,0,1,no
10141,M/NB,27,19,25,264,289,2,0,1,1,0,0,0,0,no
10142,F,29,29,15,56,71,1,0,0,1,0,0,0,0,no
10143,F,27,11,37,55,92,3,0,0,2,0,1,0,0,no
10144,M/NB,19,11,25,19,44,2,0,0,2,0,0,0,0,no
10145,F,49,11,134,259,393,11,3,0,3,0,0,2,3,yes
10146,F,5,5,15,196,211,1,0,0,0,0,0,1,0,no
10147,F,27,27,15,25,40,1,0,0,0,0,0,0,1,no
10148,F,29,23,29,189,218,2,0,0,1,0,0,0,1,no
10149,F,19,15,27,143,170,2,0,0,0,1,1,0,0,no
10150,F,37,9,76,62,138,7,2,3,0,0,0,1,1,yes
10151,F,57,15,102,160,262,9,5,0,2,0,0,0,2,no
10152,F,31,1,114,86,200,10,2,1,4,0,1,1,1,no
10153,F,23,5,36,218,254,3,0,0,1,1,0,1,0,no
10154,M/NB,21,17,29,154,183,2,0,0,1,0,0,0,1,no
10155,F,53,15,71,115,186,7,2,1,3,1,0,0,0,no
10156,F,23,5,57,263,320,5,2,0,2,0,0,0,1,no
10157,F,69,31,127,95,222,11,3,0,4,1,1,0,2,no
10158,M/NB,19,13,28,114,142,2,0,1,0,0,0,1,0,yes
10159,M/NB,17,9,25,226,251,2,0,0,2,0,0,0,0,yes
10160,F,1,1,15,187,202,1,0,0,0,0,1,0,0,no
10161,M/NB,29,9,49,294,343,4,0,0,3,0,0,0,1,no
10162,F,11,11,15,293,308,1,0,0,0,0,0,0,1,no
